Name,Star,Size(Rs/Rj),Distance(ly)/Orbit(AU),Texture,Right ascension,Declination,Apparent magnitude,Spectral class,Spectral type,(Confirmed)Planets,Day(day),Year(a),Inclination(km),detection,BinOrTri/Mass(Me)
Sun,1,1,0,textures/sol.png,00.00.0,+00.00.0,-26.74,G,G2V,8,-,-,-,-,
Mercury,0,0.034901518,0.387098,textures/mercury.jpg,-,-,-,-,-,-,58.646,0.240846,0,detection,
Venus,0,0.086567207,0.723327,textures/venus.jpg,-,-,-,-,-,-,-243.0185,0.615198,177.36,detection,
Earth,0,0.091130151,1,textures/earth.jpg,-,-,-,-,-,-,1,1,23.45,live,
Mars,0,0.048633262,1.523679,textures/mars.png,-,-,-,-,-,-,1.025957,1.8808,25.19,detection,
Jupiter,0,1,5.204267,textures/jupiter.jpg,-,-,-,-,-,-,0.413541667,11.8618,3.13,detection,
Saturn,0,0.832944744,9.5820172,textures/saturn.png,-,-,-,-,-,-,0.440416667,29.4571,26.73,detection,
Uranus,0,0.362761225,19.22941195,textures/uranus.jpg,-,-,-,-,-,-,-0.71833,84.323326,97.77,detection,
Neptune,0,0.352190642,30.10366151,textures/neptune.jpg,-,-,-,-,-,-,0.6713,164.79,28.32,detection,
Tau Ceti,1,0.793,12,textures/sol.png,01.44.05.13,-15.56.22.4,3.49,G,G8V,5,-,-,-,-,
b,0,,0.105,textures/earth.jpg,-,-,-,-,-,-,,0.038260274,,unknown,
c,0,,0.195,textures/earth.jpg,-,-,-,-,-,-,,0.096882192,,unknown,
d,0,,0.374,textures/earth.jpg,-,-,-,-,-,-,,0.257835616,,unknown,
e,0,,0.552,textures/earth.jpg,-,-,-,-,-,-,,0.46060274,,unknown,
f,0,,1.35,textures/earth.jpg,-,-,-,-,-,-,,1.75890411,,unknown,
Gliese 876,1,0.36,15,textures/sol.png,22.53.16.73,-14.15.49.3,10.17,M,M4V,4,-,-,-,-,
b,0,,0.208317,textures/earth.jpg,-,-,-,-,-,-,,0.16744274,59,Radial Velocity,618.7571608
c,0,,0.12959,textures/earth.jpg,-,-,-,-,-,-,,0.082433151,59,Radial Velocity,194.5571594
d,0,,0.020807,textures/earth.jpg,-,-,-,-,-,-,,0.005308986,59,Radial Velocity,5.853959511
e,0,,0.3343,textures/earth.jpg,-,-,-,-,-,-,,0.340438356,59,Radial Velocity,12.46762785
82 G.Eridani,1,,20,textures/sol.png,03.19.55.65,-43.04.11.2,4.254,G,G8V,3,-,-,-,-,
b,0,,,,,,,,,,,,,,
c,0,,,,,,,,,,,,,,
d,0,,,,,,,,,,,,,,
Gliese 581,1,0.299,20,textures/sol.png,15.19.26.83,-07.43.20.2,10.56,M,M3V,4,-,-,-,-,
b,0,,0.04,textures/earth.jpg,-,-,-,-,-,-,,0.014708877,,Radial Velocity,15.85965276
c,0,,0.07,textures/earth.jpg,-,-,-,-,-,-,,0.035422466,,Radial Velocity,5.331564347
d,0,,0.22,textures/earth.jpg,-,-,-,-,-,-,,0.183013699,,Radial Velocity,6.073602571
e,0,,0.03,textures/earth.jpg,-,-,-,-,-,-,,0.008628548,,Radial Velocity,1.949665072
Gliese 667 C,1,0.42,21,textures/sol.png,17.18.57.16,-34.59.23.14,10.2,M,M1.5V,5,-,-,-,-,3
b,0,,0.0505,textures/earth.jpg,-,-,-,-,-,-,,0.019727123,,Radial Velocity,5.457197253
c,0,,0.125,textures/earth.jpg,-,-,-,-,-,-,,0.07709589,,Radial Velocity,4.271709511
d,0,,0.276,textures/earth.jpg,-,-,-,-,-,-,,0.250986301,,Radial Velocity,
e,0,,0.213,textures/earth.jpg,-,-,-,-,-,-,,0.170520548,,Radial Velocity,
f,0,,0.156,textures/earth.jpg,-,-,-,-,-,-,,0.106920548,,Radial Velocity,
g,0,,0.549,textures/earth.jpg,-,-,-,-,-,-,,0.701917808,,Radial Velocity,
b,0,,0.050201,textures/earth.jpg,-,-,-,-,-,-,,0.011547945,,Radial Velocity,
c,0,,0.2175,textures/earth.jpg,-,-,-,-,-,-,,0.104167123,,Radial Velocity,
d,0,,0.476,textures/earth.jpg,-,-,-,-,-,-,,0.337013699,,Radial Velocity,
55 Cancri,1,0.943,40,textures/sol.png,08.52.35.81,+28.19.50.9,5.95,G,G8V,5,-,-,-,-,
b,0,,0.1134,textures/earth.jpg,-,-,-,-,-,-,,0.040139726,,Radial Velocity,254.7207974
c,0,,0.237,textures/earth.jpg,-,-,-,-,-,-,,0.121589041,,Radial Velocity,52.29926594
d,0,,5.47,textures/earth.jpg,-,-,-,-,-,-,,13.44931507,,Radial Velocity,1126.504157
e,0,0.194,0.01583,textures/earth.jpg,-,-,-,-,-,-,,0.002017934,82.5,Radial Velocity,8.379902375
f,0,,0.77,textures/earth.jpg,-,-,-,-,-,-,,0.715616438,,Radial Velocity,54.94318233
HD 69830,1,0.921634,41,textures/sol.png,08.18.23.95,-12.37.55.8,5.95,K,K0V,3,-,-,-,-,
b,0,,0.0785,textures/earth.jpg,-,-,-,-,-,-,,0.023745205,,Radial Velocity,10.05851437
c,0,,0.186,textures/earth.jpg,-,-,-,-,-,-,,0.086465753,,Radial Velocity,11.68640284
d,0,,0.63,textures/earth.jpg,-,-,-,-,-,-,,0.539726027,,Radial Velocity,17.90492978
HD 40307,1,0.839223,42,textures/sol.png,05.54.04.24,-60.01.24.5,7.17,K,K2.5V,6,-,-,-,-,
b,0,,0.0468,textures/earth.jpg,-,-,-,-,-,-,,0.011814521,,Radial Velocity,4.102090785
c,0,,0.0799,textures/earth.jpg,-,-,-,-,-,-,,0.026351781,,Radial Velocity,6.720804319
d,0,,0.1321,textures/earth.jpg,-,-,-,-,-,-,,0.055978082,,Radial Velocity,8.923019182
e,0,,0.1886,textures/earth.jpg,-,-,-,-,-,-,,0.094849315,,Radial Velocity,
f,0,,0.247,textures/earth.jpg,-,-,-,-,-,-,,0.141808219,,Radial Velocity,
g,0,,0.6,textures/earth.jpg,-,-,-,-,-,-,,0.541917808,,Radial Velocity,
Upsilon Andromedae,1,1.383,44,textures/sol.png,01.36.47.84,+41.24.19.7,4.09,F,F8V,4,-,-,-,-,
b,0,,0.059222,textures/earth.jpg,-,-,-,-,-,-,,0.012649405,,Radial Velocity,212.7073482
c,0,,0.827774,textures/earth.jpg,-,-,-,-,-,-,,0.660980822,,Radial Velocity,609.7470599
d,0,,2.51329,textures/earth.jpg,-,-,-,-,-,-,,3.497150685,,Radial Velocity,1308.075966
e,0,,5.24558,textures/earth.jpg,-,-,-,-,-,-,,10.54482192,,Radial Velocity,
47 Ursae Majoris,1,1.11869,46,textures/sol.png,10.59.27.97,+40.25.48.9,5.1,G,G0V,3,-,-,-,-,
b,0,,2.1,textures/earth.jpg,-,-,-,-,-,-,,2.953424658,,Radial Velocity,809.1261329
c,0,,3.6,textures/earth.jpg,-,-,-,-,-,-,,6.550684932,,Radial Velocity,173.4560433
d,0,,11.6,textures/earth.jpg,-,-,-,-,-,-,,38.36164384,,Radial Velocity,
Nu2 Lupi,1,,47,textures/sol.png,15.21.49.57,-48.19.01.1,5.65,G,G2V,3,-,-,-,-,
b,0,,,,,,,,,,,,,,
c,0,,,,,,,,,,,,,,
d,0,,,,,,,,,,,,,,
